##T[K]	p[bar]	E[V/mm]	v[mm/ms]	dL[mm^1/2]	dT[mm^1/2]
293.15	25	280	3881.91	0.0150378	0.0216107
293.15	25	290	3939.49	0.0157248	0.0206067
293.15	25	300	4012.29	0.0148337	0.0205479
293.15	25	310	4078.17	0.0158726	0.0203505
293.15	25	320	4130.7	0.0146818	0.0205294
293.15	25	330	4191.53	0.0148755	0.0205849
293.15	25	340	4248.29	0.0147979	0.0202416
293.15	25	350	4303.84	0.0143357	0.0200924
293.15	25	360	4367.84	0.0145906	0.0205404
293.15	25	370	4406.13	0.015011	0.0201788
293.15	25	380	4465.07	0.0140457	0.0202792
293.15	25	390	4508.15	0.0138348	0.0201091
293.15	25	400	4559.05	0.0140303	0.0201999
293.15	12	100	3318.41	0.0249561	0.0322946
293.15	12	110	3484.45	0.0239391	0.0307028
293.15	12	120	3665.91	0.0229352	0.0308858
293.15	12	130	3812.96	0.0224767	0.030432
293.15	12	140	3958.41	0.0219171	0.0303556
293.15	12	150	4082.2	0.0217319	0.0302669
293.15	12	160	4215.36	0.0211822	0.0296028
293.15	12	170	4324.9	0.0206612	0.0297877
293.15	12	180	4434.46	0.0202287	0.0293694
293.15	12	190	4560.78	0.0202406	0.0286497
293.15	12	200	4643.23	0.0205432	0.0288066
293.15	12	210	4740.63	0.0201423	0.0285916
293.15	12	220	4826.25	0.0202021	0.0285234
293.15	12	230	4914.63	0.0199455	0.0290947
293.15	12	240	5003.05	0.0196529	0.0280951
293.15	12	250	5087.61	0.0190876	0.0284882
293.15	12	260	5160.62	0.0195383	0.0287409
293.15	12	270	5240.77	0.0192521	0.0279208
293.15	12	280	5317.58	0.019052	0.028142
293.15	12	290	5389.12	0.0192685	0.0280178
293.15	12	300	5456.63	0.018928	0.0283638
293.15	12	310	5537.66	0.0184363	0.0281464
293.15	12	320	5612.25	0.0193009	0.0274633
293.15	12	330	5676.82	0.0187308	0.027699
293.15	12	340	5737.53	0.0185091	0.0275629
293.15	12	350	5818.93	0.0185804	0.0277109
293.15	12	360	5874.16	0.0191225	0.0280149
293.15	12	370	5938.92	0.0188207	0.0275727
293.15	12	380	6007.06	0.0184814	0.0277516
293.15	12	390	6068.12	0.0185775	0.027056
293.15	12	400	6135.75	0.0184217	0.0271945
293.15	31	100	1758.87	0.0214809	0.0248518
293.15	31	110	1891.09	0.0220476	0.0235877
293.15	31	120	2018.68	0.0204193	0.0238887
293.15	31	130	2140.58	0.0199947	0.0230604
293.15	31	140	2248.79	0.019427	0.0228765
293.15	31	150	2356.03	0.0185006	0.0221703
293.15	31	160	2459.71	0.0174688	0.0221559
293.15	31	170	2565.29	0.0178727	0.0214823
293.15	31	180	2672.7	0.0171942	0.0210223
293.15	31	190	2755.52	0.017151	0.0209305
293.15	31	200	2850.3	0.0168215	0.0210579
293.15	31	210	2927.96	0.0171196	0.0209701
293.15	31	220	3017.74	0.0164519	0.0199905
293.15	31	230	3100.72	0.0153284	0.0202585
293.15	31	240	3179.04	0.0158531	0.0201219
293.15	31	250	3248.99	0.0153734	0.0200738
293.15	31	260	3321.7	0.0156265	0.0195157
293.15	31	270	3394.19	0.0154932	0.0195569
293.15	31	280	3460.88	0.0145888	0.019639
293.15	31	290	3531.21	0.0143189	0.0193517
