##T[K]	p[bar]	E[V/mm]	v[mm/ms]	dL[mm^1/2]	dT[mm^1/2]
293.15	30	100	2224.65	0.0228063	0.0298986
293.15	30	110	2350.77	0.0221458	0.0301381
293.15	30	120	2469.3	0.0221332	0.0297205
293.15	30	130	2584.22	0.0218271	0.0290282
293.15	30	140	2706	0.0219404	0.0288482
293.15	30	150	2803.63	0.021205	0.0281653
293.15	30	160	2897.75	0.0211101	0.0281232
293.15	30	170	2993.2	0.0198939	0.0278726
293.15	30	180	3080.66	0.0200919	0.0276523
293.15	30	190	3177.53	0.0200396	0.0279514
293.15	30	200	3260.67	0.0194664	0.0271794
293.15	30	210	3350.74	0.0203194	0.0277252
293.15	30	220	3420.21	0.0198402	0.0281185
293.15	30	230	3495.87	0.0194433	0.0275442
293.15	30	240	3565.99	0.0190738	0.0276004
293.15	30	250	3635.71	0.0188491	0.0273852
293.15	30	260	3703.84	0.0186817	0.0273957
293.15	30	270	3773.03	0.018931	0.0273136
293.15	30	280	3841.35	0.0185845	0.0270908
293.15	30	290	3899.91	0.018993	0.026455
293.15	30	300	3958.85	0.0189403	0.026639
293.15	30	310	4019.26	0.0188889	0.027114
293.15	30	320	4085.8	0.0189712	0.027007
293.15	30	330	4147.74	0.0185946	0.0269407
293.15	30	340	4204.53	0.0186402	0.0276162
293.15	30	350	4262.09	0.0177809	0.0270612
293.15	30	360	4316.99	0.018904	0.0268772
293.15	30	370	4376.4	0.0183244	0.0264029
293.15	30	380	4422.57	0.0181341	0.0271931
293.15	30	390	4475.04	0.0184984	0.0269306
293.15	30	400	4531.16	0.0184308	0.0264699
293.15	28	100	2310.28	0.0228171	0.0307624
293.15	28	110	2441.82	0.0228062	0.0300422
293.15	28	120	2571.19	0.0225927	0.0298881
293.15	28	130	2689.28	0.0219611	0.0295619
293.15	28	140	2806.22	0.0222375	0.0304595
293.15	28	150	2908.37	0.0214586	0.0293943
293.15	28	160	3008.61	0.0216414	0.0292417
293.15	28	170	3111.97	0.020521	0.0288363
293.15	28	180	3185.66	0.0207491	0.0286539
293.15	28	190	3289.45	0.0204177	0.0291577
293.15	28	200	3375.66	0.0198357	0.0280006
293.15	28	210	3458.82	0.0208287	0.0284915
293.15	28	220	3536.86	0.020501	0.0288534
293.15	28	230	3614.98	0.0201217	0.0277752
293.15	28	240	3687.65	0.0202924	0.028185
293.15	28	250	3763.33	0.0197081	0.0280845
293.15	28	260	3826.57	0.0200397	0.0283937
293.15	28	270	3903.34	0.0193263	0.0276586
293.15	28	280	3962.85	0.0191223	0.0278209
293.15	28	290	4032.54	0.0192166	0.027594
293.15	28	300	4089.98	0.0198643	0.0280835
293.15	28	310	4160.62	0.0192101	0.0273699
293.15	28	320	4222.35	0.0196323	0.0272836
293.15	28	330	4285.26	0.0189706	0.0280107
293.15	28	340	4341.15	0.0191714	0.0281031
293.15	28	350	4401.16	0.0197051	0.0270675
293.15	28	360	4460.44	0.0188075	0.0282957
293.15	28	370	4519.42	0.0192223	0.0277458
293.15	28	380	4560.64	0.0190665	0.027248
293.15	28	390	4617.42	0.019206	0.0273594
293.15	28	400	4683.34	0.0191542	0.0276273
293.15	8	100	4396.17	0.0365661	0.0518929
293.15	8	110	4594.19	0.0360313	0.0511442
293.15	8	120	4782.99	0.0355178	0.0508074
293.15	8	130	4970.85	0.0343885	0.0504214
293.15	8	140	5147.3	0.0359428	0.0504775
293.15	8	150	5323.74	0.0352734	0.0496195
293.15	8	160	5478.68	0.0353302	0.0505011
293.15	8	170	5634.71	0.0350523	0.0499163
293.15	8	180	5806.75	0.0345884	0.0505554
293.15	8	190	5954.68	0.0338711	0.0492875
293.15	8	200	6132.17	0.0343234	0.0491195
293.15	8	210	6285.07	0.0345221	0.0494524
293.15	8	220	6443.66	0.0349109	0.0494527
293.15	8	230	6590.84	0.0340861	0.0488802
293.15	8	240	6728.05	0.0342287	0.04877
293.15	8	250	6883.46	0.0342002	0.0486606
293.15	8	260	7035.78	0.0341904	0.0479994
293.15	8	270	7154.37	0.0348635	0.0472248
293.15	8	280	7323.56	0.0340872	0.0467986
293.15	8	290	7460.69	0.0324215	0.047586
293.15	8	300	7601.53	0.0340901	0.046754
293.15	8	310	7742.7	0.0330549	0.0468015
293.15	8	320	7881.19	0.0334041	0.0474754
293.15	8	330	8030.88	0.0337905	0.0470188
293.15	8	340	8145.94	0.0334289	0.0475464
293.15	8	350	8281.62	0.0336386	0.0470581
293.15	8	360	8435.89	0.0328828	0.0466548
293.15	8	370	8563.27	0.0324136	0.0453277
293.15	8	380	8710.68	0.0340136	0.0458415
293.15	8	390	8821.06	0.0322158	0.0454067
293.15	8	400	8947.93	0.0339797	0.0461162
293.15	23	100	2588	0.0242741	0.0323311
293.15	23	110	2729.75	0.0237945	0.0323826
293.15	23	120	2872.38	0.0242459	0.0326502
293.15	23	130	2984.81	0.0236273	0.0320437
293.15	23	140	3125.19	0.0236292	0.0319864
293.15	23	150	3228.14	0.0231395	0.0320878
293.15	23	160	3326.43	0.0224412	0.0317019
293.15	23	170	3427.64	0.0219819	0.0309602
293.15	23	180	3532.44	0.0214434	0.0316583
293.15	23	190	3629.48	0.0219606	0.0310506
293.15	23	200	3714.08	0.0215685	0.0306834
293.15	23	210	3806.46	0.0221382	0.0315963
293.15	23	220	3889.88	0.0209963	0.0307679
293.15	23	230	3970.77	0.0216321	0.0309855
293.15	23	240	4050.12	0.0213736	0.0305088
293.15	23	250	4128.5	0.0208512	0.0303905
293.15	23	260	4197	0.0215859	0.0309459
293.15	23	270	4274.97	0.0215728	0.0306259
293.15	23	280	4344.72	0.0201083	0.0309034
293.15	23	290	4408.33	0.0214569	0.0306225
293.15	23	300	4477.81	0.0212781	0.030102
293.15	23	310	4552.4	0.0214562	0.0300432
293.15	23	320	4623.66	0.0213995	0.0299507
293.15	23	330	4684.83	0.020904	0.0303381
293.15	23	340	4741.19	0.0204887	0.029906
293.15	23	350	4818.47	0.0206946	0.0303164
293.15	23	360	4882.11	0.0209889	0.0305839
293.15	23	370	4933.1	0.0203398	0.0296687
293.15	23	380	5005.07	0.0207369	0.0297338
293.15	23	390	5060.98	0.0207678	0.0295879
293.15	23	400	5125.32	0.0199798	0.0295833
293.15	7	100	4672.14	0.0366918	0.0556817
293.15	7	110	4894.36	0.0375576	0.0543682
293.15	7	120	5091.52	0.0372128	0.0550232
293.15	7	130	5288.49	0.0367642	0.0543004
293.15	7	140	5482.69	0.0377204	0.0532214
293.15	7	150	5696.57	0.0380637	0.053513
293.15	7	160	5850.23	0.0367134	0.0537362
293.15	7	170	6021.29	0.0369707	0.0528369
293.15	7	180	6207.14	0.0374397	0.0524112
293.15	7	190	6376.7	0.0366815	0.0518385
293.15	7	200	6569.05	0.0366888	0.0520007
293.15	7	210	6743.7	0.0366475	0.0520291
293.15	7	220	6912.46	0.0362652	0.0515135
