##T[K]	p[bar]	E[V/mm]	v[mm/ms]	dL[mm^1/2]	dT[mm^1/2]
293.15	7	230	7093.88	0.0356089	0.0523703
293.15	7	240	7239.38	0.0366327	0.0520971
293.15	7	250	7400.63	0.0359385	0.0510174
293.15	7	260	7560.65	0.035158	0.0503237
293.15	7	270	7718.06	0.0363024	0.0501141
293.15	7	280	7876.65	0.0354106	0.0495698
293.15	7	290	8036.74	0.0346286	0.0490436
293.15	7	300	8203.85	0.0362709	0.0493209
293.15	7	310	8341.01	0.0353721	0.0501042
293.15	7	320	8508.9	0.0348433	0.0493061
293.15	7	330	8655.84	0.0359621	0.049783
293.15	7	340	8785.31	0.0354576	0.0487562
293.15	7	350	8956.57	0.0359123	0.0478139
293.15	7	360	9114.25	0.0348686	0.0484977
293.15	7	370	9263.08	0.033763	0.0478487
293.15	7	380	9388.81	0.0348773	0.0477954
293.15	7	390	9534.37	0.0341392	0.0477734
293.15	7	400	9662.69	0.0354263	0.0476764
293.15	21	100	2718.6	0.0247525	0.0341942
293.15	21	110	2879.02	0.0248305	0.0346632
293.15	21	120	3006.62	0.0246746	0.0340847
293.15	21	130	3138.45	0.0245435	0.0339695
293.15	21	140	3270.89	0.0237534	0.0328894
293.15	21	150	3378.27	0.022976	0.0330817
293.15	21	160	3481.09	0.0235706	0.0318939
293.15	21	170	3589.3	0.023099	0.0329822
293.15	21	180	3687.34	0.0227084	0.032253
293.15	21	190	3787.82	0.0222432	0.0330277
293.15	21	200	3888.26	0.0219216	0.0322985
293.15	21	210	3979.55	0.0226309	0.032311
293.15	21	220	4052.64	0.0219582	0.0315863
293.15	21	230	4138.73	0.0224435	0.0324682
293.15	21	240	4227.39	0.0222193	0.0317994
293.15	21	250	4305.75	0.022175	0.0325988
293.15	21	260	4377.82	0.0220413	0.0315902
293.15	21	270	4463.55	0.0220016	0.0319889
293.15	21	280	4531.23	0.0217798	0.0319942
293.15	21	290	4603.87	0.022238	0.0316224
293.15	21	300	4667.39	0.0224353	0.0321952
293.15	21	310	4740.66	0.0216317	0.0318533
293.15	21	320	4826.46	0.0219445	0.0316398
293.15	21	330	4881.36	0.021752	0.0314629
293.15	21	340	4947.17	0.0217541	0.0311942
293.15	21	350	5023.25	0.0211438	0.0312227
293.15	21	360	5094.01	0.0218047	0.0312984
293.15	21	370	5163.18	0.0222576	0.0311264
293.15	21	380	5216.83	0.0222002	0.0312688
293.15	21	390	5286.5	0.0222706	0.0320059
293.15	21	400	5346.93	0.0213183	0.03144
293.15	15	100	3258.31	0.0279485	0.0390389
293.15	15	110	3418.35	0.0276481	0.039479
293.15	15	120	3565.63	0.0276005	0.0375584
293.15	15	130	3716.67	0.0265664	0.0382055
293.15	15	140	3844.73	0.0268815	0.0380404
293.15	15	150	3969.92	0.0266795	0.0386688
293.15	15	160	4088.7	0.0263465	0.0385009
293.15	15	170	4204.26	0.0265855	0.0371728
293.15	15	180	4316.83	0.0253761	0.0378347
293.15	15	190	4426.13	0.0261017	0.0380472
293.15	15	200	4533.88	0.0257681	0.03779
293.15	15	210	4648.37	0.0266837	0.0380196
293.15	15	220	4738.59	0.0254484	0.0375455
293.15	15	230	4833.82	0.0251767	0.0375524
293.15	15	240	4935.83	0.025524	0.0375526
293.15	15	250	5017.2	0.0257191	0.0374573
293.15	15	260	5117.38	0.025296	0.0368612
293.15	15	270	5215.2	0.0256339	0.0372211
293.15	15	280	5305.85	0.0239951	0.0371704
293.15	15	290	5385.63	0.0257495	0.0366607
293.15	15	300	5476.34	0.0252251	0.0368354
293.15	15	310	5573.19	0.0255608	0.0366651
293.15	15	320	5651.44	0.0251476	0.0366382
293.15	15	330	5734.32	0.0246901	0.036617
293.15	15	340	5836.84	0.0263609	0.0364917
293.15	15	350	5910.87	0.0255048	0.0363037
293.15	15	360	5997.32	0.0253365	0.0374647
293.15	15	370	6079.61	0.0258122	0.0362041
293.15	15	380	6162.23	0.0250668	0.0357354
293.15	15	390	6245.01	0.0257698	0.034842
293.15	15	400	6327.98	0.0251479	0.0353153
293.15	9	100	4163.84	0.0331828	0.0488097
293.15	9	110	4356.39	0.0342383	0.048682
293.15	9	120	4535.7	0.0334788	0.0495246
293.15	9	130	4710.81	0.0327385	0.0494564
293.15	9	140	4875.75	0.0335271	0.0477207
293.15	9	150	5039.03	0.0333321	0.0469049
293.15	9	160	5180.26	0.0333812	0.0479504
293.15	9	170	5323.07	0.0326796	0.048263
293.15	9	180	5473.95	0.0328905	0.048385
293.15	9	190	5612.03	0.0319156	0.0475664
293.15	9	200	5786.96	0.0317045	0.0470992
293.15	9	210	5924.14	0.0323368	0.0465055
293.15	9	220	6059.77	0.0318922	0.0466029
293.15	9	230	6198.82	0.0319078	0.0456238
293.15	9	240	6338.36	0.0329704	0.0459059
293.15	9	250	6461.2	0.032788	0.0468692
293.15	9	260	6615.74	0.0329415	0.0463084
293.15	9	270	6724.92	0.0323045	0.0461972
293.15	9	280	6866.13	0.0321979	0.0458029
293.15	9	290	6991.96	0.0311333	0.0446018
293.15	9	300	7129.83	0.032788	0.0442017
293.15	9	310	7248.97	0.0314864	0.0448282
293.15	9	320	7381.92	0.0329439	0.0451767
293.15	9	330	7518.56	0.0320437	0.0449066
293.15	9	340	7644.39	0.0319309	0.0442221
293.15	9	350	7752.13	0.031878	0.0447542
293.15	9	360	7881.03	0.0310152	0.0438019
293.15	9	370	8005.45	0.0315776	0.0433448
293.15	9	380	8131.51	0.0312971	0.0439086
293.15	9	390	8236.87	0.0316893	0.043958
293.15	9	400	8351.06	0.0312706	0.0439855
293.15	24	100	2528.24	0.0240285	0.0324159
293.15	24	110	2667.39	0.0240137	0.0318514
293.15	24	120	2802.6	0.023589	0.0314139
293.15	24	130	2927.18	0.0233466	0.0318921
293.15	24	140	3049.24	0.0226806	0.0315636
293.15	24	150	3146.42	0.0223805	0.0316057
293.15	24	160	3257.23	0.0229155	0.0310576
293.15	24	170	3352.71	0.0219821	0.0307039
293.15	24	180	3455.94	0.0218008	0.0301431
293.15	24	190	3553.92	0.0217909	0.0303282
293.15	24	200	3650.19	0.0215583	0.0307364
293.15	24	210	3732.9	0.0210954	0.0300921
293.15	24	220	3813.33	0.0213817	0.0298126
293.15	24	230	3900.56	0.0211771	0.0305796
293.15	24	240	3969.94	0.0211643	0.030062
293.15	24	250	4057.25	0.0210024	0.0294435
293.15	24	260	4119.47	0.0207429	0.0298825
293.15	24	270	4198.08	0.0209977	0.0306189
293.15	24	280	4259.02	0.0203259	0.0301092
293.15	24	290	4324.42	0.0211187	0.0298226
293.15	24	300	4390.42	0.0210744	0.0296722
293.15	24	310	4471.28	0.0209876	0.0295073
293.15	24	320	4534.42	0.0202664	0.0303511
293.15	24	330	4600.09	0.0199632	0.0297021
293.15	24	340	4656.5	0.0207928	0.0297838
293.15	24	350	4728.85	0.0202776	0.0300328
293.15	24	360	4788.96	0.0196671	0.0293133
293.15	24	370	4842.43	0.0206197	0.0294865
293.15	24	380	4904.93	0.0203493	0.0293546
293.15	24	390	4966.22	0.0197804	0.0294497
293.15	24	400	5021.54	0.0196792	0.0294454
293.15	22	100	2654.65	0.0248639	0.0332707
293.15	22	110	2797.1	0.0247687	0.0333046
293.15	22	120	2935.13	0.0244036	0.0328303
293.15	22	130	3059.95	0.0236497	0.0321519
293.15	22	140	3188.01	0.0237548	0.0322251
293.15	22	150	3303.56	0.0237694	0.0314438
293.15	22	160	3402.18	0.0233615	0.0323438
293.15	22	170	3511.41	0.0229798	0.0321274
293.15	22	180	3601.54	0.0224201	0.0316804
293.15	22	190	3699.1	0.0222393	0.0310777
293.15	22	200	3798.2	0.0220749	0.0320045
293.15	22	210	3895.9	0.022219	0.0318091
293.15	22	220	3966.4	0.0220102	0.0316178
293.15	22	230	4051.51	0.022041	0.0314329
293.15	22	240	4137.64	0.0217253	0.031491
293.15	22	250	4203.09	0.0216607	0.0311613
293.15	22	260	4281.74	0.0213827	0.0309318
293.15	22	270	4368.61	0.0217878	0.0305935
293.15	22	280	4441.87	0.0210789	0.0311089
293.15	22	290	4501.51	0.0211098	0.0313253
293.15	22	300	4580.78	0.0211762	0.0311892
293.15	22	310	4648.74	0.0204252	0.0313023
293.15	22	320	4712.68	0.0219751	0.0313715
293.15	22	330	4778.47	0.0219865	0.0312074
293.15	22	340	4841.99	0.0209249	0.0307236
293.15	22	350	4915.25	0.0214001	0.0317971
293.15	22	360	4983.93	0.0211747	0.0306918
293.15	22	370	5049.34	0.0211662	0.0312383
293.15	22	380	5102.75	0.0213095	0.0306173
293.15	22	390	5167.09	0.0215047	0.0298554
293.15	22	400	5230.62	0.0214904	0.029951
293.15	4	100	6124.83	0.0493746	0.0710872
293.15	4	110	6442.25	0.0493978	0.0694093
293.15	4	120	6737.78	0.0495468	0.0693488
293.15	4	130	7039.38	0.0477352	0.0674741
293.15	4	140	7336.3	0.0483472	0.0664079
293.15	4	150	7624.32	0.0474625	0.0666683
293.15	4	160	7879.5	0.0475723	0.0664859
293.15	4	170	8159.88	0.0475866	0.0662876
293.15	4	180	8438.98	0.0488699	0.0656736
293.15	4	190	8691.72	0.0465636	0.0651662
293.15	4	200	8946.13	0.0453943	0.06532
293.15	4	210	9214.8	0.0473818	0.0647434
293.15	4	220	9473.4	0.0446015	0.0624765
293.15	4	230	9720.49	0.0463622	0.0623171
293.15	4	240	9963.19	0.0461287	0.0630134
293.15	4	250	10206.1	0.0456464	0.0626087
293.15	4	260	10430	0.0432926	0.0620446
293.15	4	270	10658.9	0.0435986	0.0621022
293.15	4	280	10889.3	0.0453486	0.0609805
293.15	4	290	11125.4	0.0433518	0.0610414
293.15	4	300	11374.4	0.0445282	0.0601556
293.15	4	310	11579.7	0.0441412	0.0607132
293.15	4	320	11803	0.0439315	0.0611343
293.15	4	330	12002.9	0.0438991	0.0599338
293.15	4	340	12228.8	0.0433592	0.0589887
293.15	4	350	12470.5	0.0433808	0.0580135
293.15	4	360	12627.3	0.0424721	0.0579066
293.15	4	370	12880.9	0.0429342	0.0581902
293.15	4	380	13076.8	0.0430413	0.0582069
293.15	4	390	13279.4	0.0432502	0.0580626
293.15	4	400	13479.4	0.0434729	0.0579533
293.15	31	100	2182.17	0.022596	0.0301736
293.15	31	110	2297.64	0.0222275	0.0296225
293.15	31	120	2428.61	0.0224221	0.0287562
293.15	31	130	2537.65	0.0219542	0.0282747
293.15	31	140	2653.23	0.0212973	0.0290195
293.15	31	150	2751.27	0.0201701	0.0280485
293.15	31	160	2841.67	0.0205514	0.0278022
293.15	31	170	2941.82	0.0204006	0.0273303
293.15	31	180	3022.6	0.0194068	0.0275328
293.15	31	190	3124.51	0.0194051	0.0279323
293.15	31	200	3210.91	0.0196672	0.0277357
293.15	31	210	3293.08	0.0194984	0.0272235
293.15	31	220	3366.95	0.0194803	0.0273966
293.15	31	230	3441.48	0.0197236	0.0268271
293.15	31	240	3509.12	0.019053	0.0269616
293.15	31	250	3588.9	0.019127	0.0267999
293.15	31	260	3651.85	0.0191583	0.0266846
293.15	31	270	3719.69	0.0189532	0.0270944
293.15	31	280	3779.65	0.0185817	0.0266065
293.15	31	290	3843.37	0.0195832	0.0270652
293.15	31	300	3897.85	0.0189601	0.0263708
293.15	31	310	3962.93	0.0187994	0.0266594
293.15	31	320	4025.58	0.0191613	0.0268868
293.15	31	330	4083.88	0.018159	0.026832
293.15	31	340	4146.34	0.0185399	0.026488
293.15	31	350	4192.28	0.0179296	0.0266914
293.15	31	360	4258.04	0.0183541	0.0265312
293.15	31	370	4292.4	0.018672	0.0259609
293.15	31	380	4362.3	0.0185229	0.0258953
293.15	31	390	4405.63	0.0184954	0.026398
293.15	31	400	4464.47	0.0177242	0.0261826
293.15	32	100	2138.62	0.0216936	0.0297773
293.15	32	110	2260.59	0.0219201	0.0290949
293.15	32	120	2378.25	0.0219612	0.0291875
293.15	32	130	2497.04	0.0217568	0.0289025
293.15	32	140	2601.24	0.0209013	0.0277338
293.15	32	150	2701.84	0.0201939	0.0272034
293.15	32	160	2792.82	0.0207136	0.0278791
293.15	32	170	2891.93	0.0197912	0.0277502
293.15	32	180	2984.09	0.0199156	0.0276231
293.15	32	190	3073.22	0.0200135	0.027257
293.15	32	200	3153.25	0.0199452	0.0265013
293.15	32	210	3236.39	0.0194484	0.0259511
293.15	32	220	3306.86	0.0184594	0.0266011
293.15	32	230	3389.58	0.0194285	0.0268394
293.15	32	240	3453.52	0.0187627	0.0264969
293.15	32	250	3530.75	0.0184838	0.0269642
293.15	32	260	3595.4	0.0192962	0.0263503
293.15	32	270	3657.93	0.0185661	0.0262256
293.15	32	280	3716.02	0.0186184	0.0262822
293.15	32	290	3783.68	0.0190072	0.0258741
293.15	32	300	3839.7	0.018679	0.0259618
293.15	32	310	3910.18	0.0188636	0.0258207
293.15	32	320	3962.8	0.0184935	0.0259036
293.15	32	330	4017.5	0.0185603	0.0263229
293.15	32	340	4085.75	0.0181273	0.0264315
293.15	32	350	4135.88	0.0179377	0.0253936
293.15	32	360	4192.52	0.0184763	0.0255401
293.15	32	370	4249.4	0.0183277	0.0262144
293.15	32	380	4292.24	0.0181673	0.0260532
293.15	32	390	4347.47	0.0180921	0.0255414
293.15	32	400	4402.63	0.0180343	0.0259
293.15	11	100	3793.64	0.0312209	0.045306
293.15	11	110	3970.13	0.030914	0.0445735
293.15	11	120	4132.45	0.0317791	0.0441532
293.15	11	130	4300.44	0.0303468	0.0442602
293.15	11	140	4451.61	0.0309065	0.0441291
293.15	11	150	4587.36	0.0300368	0.0443338
293.15	11	160	4710.53	0.0302545	0.0436684
293.15	11	170	4853.32	0.0293253	0.0440498
293.15	11	180	4974.55	0.029253	0.0435763
293.15	11	190	5110.38	0.0291195	0.0436597
293.15	11	200	5236.37	0.0291648	0.0431952
293.15	11	210	5373.92	0.0301167	0.0435036
293.15	11	220	5482.84	0.0304958	0.0423067
293.15	11	230	5603.56	0.0298833	0.0420478
293.15	11	240	5723.4	0.0296194	0.0416151
293.15	11	250	5838.56	0.0296901	0.0426775
293.15	11	260	5956.23	0.0287538	0.0430272
293.15	11	270	6074.19	0.0295261	0.0427708
293.15	11	280	6194.18	0.0284445	0.0417066
293.15	11	290	6290.95	0.029901	0.0418184
293.15	11	300	6399.01	0.0289171	0.0422326
293.15	11	310	6508.82	0.0297567	0.0411563
293.15	11	320	6618.77	0.0298056	0.0411303
293.15	11	330	6726.67	0.0288948	0.0416368
293.15	11	340	6836.05	0.0298993	0.0423902
293.15	11	350	6952.58	0.0297531	0.0402513
293.15	11	360	7058.84	0.0288978	0.0420135
293.15	11	370	7166.99	0.0298579	0.0405388
293.15	11	380	7265.26	0.0291005	0.0403622
293.15	11	390	7375.03	0.0301017	0.040205
293.15	11	400	7479.99	0.0295416	0.0411208
293.15	10	100	3969.99	0.0324704	0.0473139
293.15	10	110	4147.69	0.031745	0.0468357
293.15	10	120	4314.77	0.0318074	0.0464632
293.15	10	130	4484.58	0.0320584	0.0466567
293.15	10	140	4645.29	0.0320633	0.0461456
293.15	10	150	4786.59	0.0310922	0.045394
293.15	10	160	4927.01	0.0312027	0.0450395
293.15	10	170	5070.31	0.0311416	0.0450482
293.15	10	180	5207.36	0.0311361	0.0446622
293.15	10	190	5347.06	0.0312231	0.0448015
293.15	10	200	5483.59	0.0307471	0.0456031
293.15	10	210	5614.7	0.0315708	0.0451777
293.15	10	220	5752.99	0.0303358	0.044335
293.15	10	230	5873.87	0.0307758	0.044861
293.15	10	240	6008.75	0.0315899	0.0428547
293.15	10	250	6126.15	0.0314017	0.0442486
293.15	10	260	6249.4	0.0308331	0.043771
293.15	10	270	6367.71	0.030913	0.0433087
293.15	10	280	6487.67	0.030386	0.0448236
293.15	10	290	6611.91	0.0293922	0.0436851
293.15	10	300	6734.39	0.0298085	0.0435391
293.15	10	310	6856.77	0.0304064	0.0428503
293.15	10	320	6959.8	0.0303843	0.042989
293.15	10	330	7090.09	0.0310459	0.0417804
293.15	10	340	7202.17	0.0301353	0.0433849
293.15	10	350	7308.59	0.0302405	0.0432955
293.15	10	360	7447.04	0.029307	0.0421275
293.15	10	370	7552.2	0.0294487	0.0423206
293.15	10	380	7673.09	0.031151	0.0430407
293.15	10	390	7756.92	0.0309879	0.0420359
293.15	10	400	7884.64	0.029603	0.0421261
293.15	26	100	2415.27	0.0235348	0.0312574
293.15	26	110	2550.46	0.0247076	0.0309746
293.15	26	120	2683.94	0.0236593	0.0306345
293.15	26	130	2798.7	0.0227852	0.0310463
293.15	26	140	2926.71	0.0226987	0.0306773
293.15	26	150	3027.08	0.0224824	0.0302935
293.15	26	160	3123.06	0.0228405	0.0298305
293.15	26	170	3223.85	0.0214098	0.0294279
293.15	26	180	3315.44	0.0208074	0.0298248
293.15	26	190	3411.62	0.0205398	0.030219
293.15	26	200	3500.67	0.0217429	0.0293188
293.15	26	210	3592.24	0.0208753	0.029512
293.15	26	220	3676.38	0.0211015	0.0291732
293.15	26	230	3745.02	0.0206815	0.0289993
293.15	26	240	3816.69	0.021047	0.0289716
293.15	26	250	3893.91	0.0198282	0.0297719
293.15	26	260	3970.27	0.0199229	0.0287944
293.15	26	270	4039.01	0.0202291	0.0294081
293.15	26	280	4113.96	0.019994	0.0287569
293.15	26	290	4169.22	0.0200513	0.0288719
293.15	26	300	4234.38	0.0198474	0.0293202
293.15	26	310	4307.9	0.0197839	0.0290613
293.15	26	320	4367.07	0.0200738	0.0288158
293.15	26	330	4423.95	0.0192322	0.0284156
293.15	26	340	4490.36	0.0205103	0.0287226
293.15	26	350	4550.47	0.0199129	0.0282829
293.15	26	360	4611.2	0.0196531	0.0278909
293.15	26	370	4672.59	0.019824	0.0279621
293.15	26	380	4727.71	0.0196607	0.0280904
293.15	26	390	4785.55	0.0197393	0.0285647
293.15	26	400	4840.82	0.0190849	0.0287378
293.15	2	100	8934.17	0.0660425	0.0900675
293.15	2	110	9453.5	0.0653815	0.0897803
293.15	2	120	9948.98	0.0651114	0.0890961
293.15	2	130	10424	0.0642031	0.0863551
293.15	2	140	10922.1	0.063604	0.0873839
293.15	2	150	11379.6	0.0624971	0.0860784
293.15	2	160	11805.5	0.0628614	0.084955
293.15	2	170	12214.3	0.0645105	0.0833451
293.15	2	180	12651.7	0.0621628	0.0828797
293.15	2	190	13060.1	0.0588825	0.0814033
293.15	2	200	13456.9	0.0596572	0.08262
293.15	2	210	13884.2	0.0583575	0.0817158
293.15	2	220	14273.2	0.0603565	0.0829673
293.15	2	230	14664.3	0.059809	0.0807738
293.15	2	240	15027.7	0.0570376	0.0786555
293.15	2	250	15431.4	0.0591539	0.0792522
293.15	2	260	15745	0.0589126	0.0787894
293.15	2	270	16128.4	0.0586156	0.0787013
293.15	2	280	16476.9	0.0591098	0.0787079
293.15	2	290	16808.7	0.0576666	0.0783992
293.15	2	300	17149.6	0.0568791	0.0771493
293.15	2	310	17521.3	0.0577808	0.0789133
293.15	2	320	17829.8	0.0580029	0.0759764
293.15	2	330	18170.2	0.0581891	0.0769868
293.15	2	340	18487	0.0575031	0.0778901
293.15	2	350	18827.2	0.0570002	0.0763512
293.15	2	360	19085.9	0.0579497	0.0778551
293.15	2	370	19471.3	0.0588048	0.0791777
293.15	2	380	19784.5	0.0570106	0.0776507
293.15	2	390	20101	0.0573349	0.076295
293.15	2	400	20374.9	0.0590214	0.0755035
293.15	16	100	3156.51	0.0265475	0.0373628
293.15	16	110	3307.95	0.0275688	0.0383756
293.15	16	120	3451.94	0.0270586	0.0369705
293.15	16	130	3604.14	0.0268081	0.0381274
293.15	16	140	3734.97	0.0264385	0.0378353
293.15	16	150	3853.63	0.0263477	0.0374164
293.15	16	160	3962.91	0.0254941	0.0370354
293.15	16	170	4085.34	0.0250638	0.0366397
293.15	16	180	4185.24	0.0245372	0.0374176
293.15	16	190	4297.69	0.0254753	0.0358385
293.15	16	200	4406.45	0.02522	0.036149
293.15	16	210	4507.91	0.0252167	0.0369248
293.15	16	220	4587.16	0.0253015	0.0369097
293.15	16	230	4694.92	0.024817	0.0371657
293.15	16	240	4789.02	0.0252882	0.0355218
293.15	16	250	4869.88	0.0243469	0.0363874
293.15	16	260	4959.93	0.0252195	0.0365061
293.15	16	270	5055.75	0.02456	0.0360819
293.15	16	280	5135.67	0.0237772	0.0357564
293.15	16	290	5212.59	0.0254023	0.0355988
293.15	16	300	5303.77	0.0240523	0.035303
293.15	16	310	5397.39	0.0235979	0.0353748
293.15	16	320	5478.24	0.024852	0.0357449
293.15	16	330	5548.6	0.0252389	0.0359636
293.15	16	340	5638.3	0.0246805	0.0353908
293.15	16	350	5728.23	0.0250033	0.0353889
293.15	16	360	5802.42	0.0243705	0.0351957
293.15	16	370	5884.47	0.0249409	0.0349016
293.15	16	380	5956.04	0.02473	0.0353758
293.15	16	390	6052.2	0.0250884	0.0349905
293.15	16	400	6133.13	0.0246965	0.0354076
293.15	18	100	2960.5	0.026419	0.0367274
293.15	18	110	3117.98	0.0265435	0.0359756
